k	0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1
1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2
3	3	3	3	3	3	3	3	3	3	3	3
4	4	4	4	4	4	4	4	4	4	4	4
5	5	4.99998	4.99936	4.99514	4.97952	4.9375	4.84448	4.66386	4.34464	3.81902	3
6	6	5.99996	5.99885	5.99174	5.96723	5.90625	5.78227	5.56302	5.21357	4.70092	4
7	7	6.99994	6.99831	6.9879	6.95167	6.85938	6.66408	6.29747	5.66307	4.62623	3
8	8	7.99993	7.99778	7.98419	7.93741	7.82031	7.57947	7.14721	6.44811	5.41247	4
9	9	8.99991	8.99724	8.98044	8.92263	8.77734	8.47472	7.91625	6.96471	5.42387	3
10	10	9.99989	9.99671	9.97671	9.90807	9.73633	9.38205	8.74178	7.69607	6.13263	4
11	11	10.9999	10.9962	10.973	10.8934	10.6943	10.2821	9.52777	8.25562	6.21377	3
12	12	11.9999	11.9956	11.9692	11.8788	11.6528	11.1866	10.3414	8.95262	6.85977	4
13	13	12.9998	12.9951	12.9655	12.8642	12.6111	12.0884	11.1357	9.53966	6.99739	3
14	14	13.9998	13.9946	13.9618	13.8495	13.5695	12.9918	11.9436	10.2147	7.59255	4
15	15	14.9998	14.994	14.958	14.8349	14.5278	13.8942	12.7419	10.8193	7.77593	3
16	16	15.9998	15.9935	15.9543	15.8203	15.4861	14.7972	13.547	11.4802	8.32991	4
17	17	16.9998	16.993	16.9505	16.8056	16.4444	15.6999	14.3473	12.0961	8.55034	3
18	18	17.9997	17.9924	17.9468	17.791	17.4028	16.6028	15.1509	12.7481	9.07097	4
19	19	18.9997	18.9919	18.9431	18.7764	18.3611	17.5055	15.9523	13.3712	9.32143	3
20	20	19.9997	19.9914	19.9393	19.7618	19.3194	18.4084	16.7552	14.0173	9.81504	4
